Season,name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm
2024,"Houck, Tanner",656557,R,SL,405,83.1,2506,18.3,0.764907513,0.654074976,58.86575767,79.6584401,Slider,65,240,195,-20.79268243,20.79268243,45,4,0,3,15,0,45
2024,"Cease, Dylan",656302,R,SL,389,87.5,2790,3.3,0.140496713,0.258132516,91.68940633,95.84728916,Slider,26,180,165,-4.157882838,4.157882838,15,3,0,2,45,0,15
2024,"Hudson, Dakota",641712,R,SL,189,83.8,2522,2.8,0.128317595,0.125671341,101.6237705,53.05677941,Slider,13,150,255,48.56699106,48.56699106,-105,2,30,4,15,1,45
2024,"Garrett, Reed",657585,R,SL,105,90.7,2440,7.4,0.327313372,0.367881177,179.7161431,146.448836,Slider,37,720,60,33.26730716,33.26730716,-60,12,0,1,0,1,0
2024,"McKenzie, Triston",663474,R,SL,187,85,2149,10.1,0.45933182,0.62502446,167.7039397,141.9210051,Slider,63,750,75,25.78293458,25.78293458,-45,12,30,1,15,0,45
2024,"Vesia, Alex",681911,L,SL,103,85.4,2388,9,0.398513268,0.432063165,209.5247385,242.2584136,Slider,43,660,600,-32.73367509,32.73367509,60,11,0,10,0,1,0
2024,"Rogers, Tyler",643511,R,SL,124,73.6,2338,16.2,0.668291858,0.538390406,133.5877323,144.232778,Slider,54,90,75,-10.64504572,10.64504572,15,1,30,1,15,0,15
2024,"Lovelady, Richard",663992,L,SL,73,85.1,2179,7.2,0.328887714,0.257861809,240.7732978,238.523018,Slider,26,600,600,2.250279806,2.250279806,0,10,0,10,0,0,0
2024,"Doval, Camilo",666808,R,SL,178,88.7,2438,5.6,0.248831684,0.291093172,82.31516094,67.03227167,Slider,29,195,225,15.28288927,15.28288927,-30,3,15,3,45,0,30
2024,"Cimber, Adam",643256,R,SL,94,73.5,2577,20.9,0.842285293,0.684264139,104.7454116,122.296478,Slider,68,150,120,-17.55106638,17.55106638,30,2,30,2,0,0,30
2024,"Burdi, Nick",595897,R,SL,75,88.2,2747,11.5,0.479572,0.328635817,60.86913905,88.20644127,Slider,33,240,180,-27.33730222,27.33730222,60,4,0,3,0,1,0
2024,"Lynn, Lance",458681,R,SL,64,80.2,2540,13.1,0.546405819,0.623672824,43.89775785,34.54627625,Slider,62,270,285,9.351481601,9.351481601,-15,4,30,4,45,0,15
2024,"Varland, Gus",681402,R,SL,51,88.6,2232,6.6,0.307691277,0.353257709,45.82422578,27.87606795,Slider,35,270,300,17.94815783,17.94815783,-30,4,30,5,0,0,30
2024,"Díaz, Edwin",621242,R,SL,188,89,2307,4.3,0.19345894,0.295976551,192.9121743,163.0192943,Slider,30,690,750,29.89287995,29.89287995,-60,11,30,12,30,1,0
2024,"Corbin, Patrick",571578,L,SL,248,80.8,2164,4,0.176127803,0.19823202,245.5760526,295.3216624,Slider,20,585,495,-49.74560986,49.74560986,90,9,45,8,15,1,30
2024,"Skubal, Tarik",669373,L,SL,122,88.5,2111,5.6,0.262755495,0.33399238,168.7423335,209.5552994,Slider,33,750,660,-40.81296589,40.81296589,90,12,30,11,0,1,30
2024,"Nardi, Andrew",677053,L,SL,145,82.8,2311,13.1,0.573674923,0.295998343,275.0542585,264.6081642,Slider,30,525,555,10.44609432,10.44609432,-30,8,45,9,15,0,30
2024,"Matzek, Tyler",554431,L,SL,58,83.3,2708,8.6,0.36101432,0.421095823,310.6490846,323.6410294,Slider,42,465,435,-12.99194487,12.99194487,30,7,45,7,15,0,30
2024,"Kittredge, Andrew",552640,R,SL,147,88,2583,7.2,0.310396611,0.313243503,125.5313381,83.35671038,Slider,31,105,195,42.17462771,42.17462771,-90,1,45,3,15,1,30
2024,"Jiménez, Joe",641729,R,SL,138,84.2,2196,6.3,0.284999884,0.322339546,129.6080578,101.477112,Slider,32,105,150,28.13094579,28.13094579,-45,1,45,2,30,0,45
2024,"Cabrera, Edward",665795,R,SL,59,88.2,2410,3.3,0.146497103,0.231835257,135.6925371,113.1687902,Slider,23,90,135,22.52374691,22.52374691,-45,1,30,2,15,0,45
2024,"Thompson, Zack",668868,L,SL,88,82.9,2009,4.9,0.228390255,0.221954174,236.9813079,275.8127536,Slider,22,600,525,-38.83144571,38.83144571,75,10,0,8,45,1,15
2024,"Gallegos, Giovanny",606149,R,SL,127,83.6,2252,2.8,0.124110252,0.10285307,152.3064642,161.2920724,Slider,10,60,750,-8.985608129,8.985608129,30,1,0,12,30,0,30
