year,name,player_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2024,"Wheeler, Zack",554430,Phillies,PHI,R,84,112,990,20.625,0.113131313,ST,Sweeper,35,-36.1,-1.1,-3,10.5,13.2,-2.7,-20,0.27826087,0.07826087
2024,"Wheeler, Zack",554430,Phillies,PHI,R,85.7,96,990,20.625,0.096969697,FS,Split-Finger,31.6,-33.4,-1.8,-5,13.4,-12.2,1.2,10,0.303030303,0.636363636
2024,"Wheeler, Zack",554430,Phillies,PHI,R,81.2,94,990,20.625,0.094949495,CU,Curveball,50.5,-50.9,-0.4,-1,8,9.7,-1.7,-18,0.4,0.321052632
2024,"Wheeler, Zack",554430,Phillies,PHI,R,90.5,91,990,20.625,0.091919192,FC,Cutter,24.4,-25.1,0.7,3,0.5,1.8,-1.3,-72,0.679245283,0.283018868
2024,"Matzek, Tyler",554431,Braves,ATL,L,93.6,120,179,4.068181818,0.670391061,FF,4-Seam Fastball,14,-14.6,0.7,5,5.7,-6.9,-1.2,-18,0.659685864,0.308900524
2024,"Matzek, Tyler",554431,Braves,ATL,L,83.3,58,179,4.068181818,0.324022346,SL,Slider,44.1,-38.5,5.6,15,4.7,6.1,-1.4,-23,0.97029703,0.369636964
2024,"Rodríguez, Joely",570257,Red Sox,BOS,L,89.6,99,212,4.416666667,0.466981132,SI,Sinker,27,-25.9,1.1,4,17.6,-15.2,2.5,16,0.674329502,0.957854406
2024,"Rodríguez, Joely",570257,Red Sox,BOS,L,85.3,78,212,4.416666667,0.367924528,CH,Changeup,34.7,-32.7,2,6,12.3,-14.3,-1.9,-13,0.763948498,0.175965665
2024,"Ureña, José",570632,Rangers,TEX,R,86.6,225,592,12.33333333,0.380067568,SL,Slider,27.9,-34.4,-6.5,-19,0.3,4.6,-5,-107,0.00990099,0.02640264
2024,"Ureña, José",570632,Rangers,TEX,R,95.7,200,592,12.33333333,0.337837838,SI,Sinker,22,-21.7,0.3,2,16.7,-15.4,1.3,9,0.593869732,0.712643678
2024,"Ureña, José",570632,Rangers,TEX,R,88.6,118,592,12.33333333,0.199324324,CH,Changeup,25.7,-30,-4.4,-14,14.3,-14.9,-0.5,-3,0.120171674,0.343347639
2024,"Corbin, Patrick",571578,Nationals,WSH,L,91.4,291,782,17,0.372122762,SI,Sinker,22.3,-22.9,-0.6,-2,14.7,-14.7,-0.1,0,0.463601533,0.38697318
2024,"Corbin, Patrick",571578,Nationals,WSH,L,80.9,217,782,17,0.277493606,SL,Slider,41.4,-41.4,0,0,3.1,7.5,-4.3,-58,0.471947195,0.079207921
2024,"Corbin, Patrick",571578,Nationals,WSH,L,84.3,129,782,17,0.164961637,FC,Cutter,35.1,-32.7,-2.4,-7,3.2,3.8,-0.6,-16,0.188679245,0.41509434
2024,"Corbin, Patrick",571578,Nationals,WSH,L,91.2,96,782,17,0.122762148,FF,4-Seam Fastball,19.6,-15.8,-3.8,-24,8.7,-6.1,2.6,43,0.04973822,0.811518325
2024,"Farmer, Buck",571656,Reds,CIN,R,81.4,117,360,7.659574468,0.325,SL,Slider,37.6,-40.5,-2.9,-7,10.4,9.3,1.1,12,0.158415842,0.660066007
2024,"Farmer, Buck",571656,Reds,CIN,R,91.7,85,360,7.659574468,0.236111111,SI,Sinker,25.4,-24,1.4,6,18.1,-15.2,2.9,19,0.704980843,0.980842912
2024,"Farmer, Buck",571656,Reds,CIN,R,92.5,79,360,7.659574468,0.219444444,FF,4-Seam Fastball,17.2,-15.7,-1.6,-10,12.1,-7.5,4.6,62,0.217277487,0.942408377
2024,"Farmer, Buck",571656,Reds,CIN,R,86.3,79,360,7.659574468,0.219444444,CH,Changeup,36.8,-31.4,5.4,17,14.7,-14.4,0.2,2,0.957081545,0.446351931
2024,"Floro, Dylan",571670,Nationals,WSH,R,89.7,163,344,7.47826087,0.473837209,SI,Sinker,25.5,-24.4,1.2,5,16.6,-14.9,1.7,12,0.685823755,0.812260536
